Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Geometria e Algebra Lineare,10/10/2025,1:15 PM,10/10/2025,3:15 PM,False,Gumenyuk Pavel,T.2.3,True
Analisi Matematica 1,10/10/2025,4:15 PM,10/10/2025,7:15 PM,False,Boella Marco Ugo Claudio,Aula - Esercitazione,True
Studio in Biblioteca,10/10/2025,9:00 AM,10/10/2025,12:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Studio in Biblioteca,10/13/2025,10:15 AM,10/13/2025,1:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Analisi Matematica 1,10/13/2025,8:15 AM,10/13/2025,10:15 AM,False,Boella Marco Ugo Claudio,9.0.1,True
Studio in Biblioteca,10/14/2025,2:00 PM,10/14/2025,4:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Analisi Matematica 1,10/15/2025,10:15 AM,10/15/2025,1:15 PM,False,Boella Marco Ugo Claudio,T.2.3,True
Chimica Generale,10/15/2025,2:15 PM,10/15/2025,4:15 PM,False,Pigliacelli Claudia,26.1.6,True
Studio in Biblioteca,10/15/2025,4:15 PM,10/15/2025,7:15 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Geometria e Algebra Lineare,10/16/2025,4:15 PM,10/16/2025,6:15 PM,False,Gumenyuk Pavel,3.0.3,True
Chimica Generale,10/16/2025,8:15 AM,10/16/2025,10:15 AM,False,Pigliacelli Claudia,5.0.1,True
Geometria e Algebra Lineare,10/17/2025,1:15 PM,10/17/2025,3:15 PM,False,Gumenyuk Pavel,T.2.3,True
Analisi Matematica 1,10/17/2025,4:15 PM,10/17/2025,7:15 PM,False,Boella Marco Ugo Claudio,Aula - Esercitazione,True
Studio in Biblioteca,10/17/2025,9:00 AM,10/17/2025,12:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Studio in Biblioteca,10/20/2025,10:15 AM,10/20/2025,1:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Analisi Matematica 1,10/20/2025,8:15 AM,10/20/2025,10:15 AM,False,Boella Marco Ugo Claudio,9.0.1,True
Studio in Biblioteca,10/21/2025,2:00 PM,10/21/2025,4:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Analisi Matematica 1,10/22/2025,10:15 AM,10/22/2025,1:15 PM,False,Boella Marco Ugo Claudio,T.2.3,True
Chimica Generale,10/22/2025,2:15 PM,10/22/2025,4:15 PM,False,Pigliacelli Claudia,26.1.6,True
Studio in Biblioteca,10/22/2025,4:15 PM,10/22/2025,7:15 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Geometria e Algebra Lineare,10/23/2025,4:15 PM,10/23/2025,6:15 PM,False,Gumenyuk Pavel,3.0.3,True
Chimica Generale,10/23/2025,8:15 AM,10/23/2025,10:15 AM,False,Pigliacelli Claudia,5.0.1,True
Geometria e Algebra Lineare,10/24/2025,1:15 PM,10/24/2025,3:15 PM,False,Gumenyuk Pavel,T.2.3,True
Analisi Matematica 1,10/24/2025,4:15 PM,10/24/2025,7:15 PM,False,Boella Marco Ugo Claudio,Aula - Esercitazione,True
Studio in Biblioteca,10/24/2025,9:00 AM,10/24/2025,12:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Studio in Biblioteca,10/27/2025,10:15 AM,10/27/2025,1:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Analisi Matematica 1,10/27/2025,8:15 AM,10/27/2025,10:15 AM,False,Boella Marco Ugo Claudio,9.0.1,True
Studio in Biblioteca,10/28/2025,2:00 PM,10/28/2025,4:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Analisi Matematica 1,10/29/2025,10:15 AM,10/29/2025,1:15 PM,False,Boella Marco Ugo Claudio,T.2.3,True
Chimica Generale,10/29/2025,2:15 PM,10/29/2025,4:15 PM,False,Pigliacelli Claudia,26.1.6,True
Studio in Biblioteca,10/29/2025,4:15 PM,10/29/2025,7:15 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Geometria e Algebra Lineare,10/30/2025,4:15 PM,10/30/2025,6:15 PM,False,Gumenyuk Pavel,3.0.3,True
Chimica Generale,10/30/2025,8:15 AM,10/30/2025,10:15 AM,False,Pigliacelli Claudia,5.0.1,True
Geometria e Algebra Lineare,10/31/2025,1:15 PM,10/31/2025,3:15 PM,False,Gumenyuk Pavel,T.2.3,True
Analisi Matematica 1,10/31/2025,4:15 PM,10/31/2025,7:15 PM,False,Boella Marco Ugo Claudio,Aula - Esercitazione,True
Studio in Biblioteca,10/31/2025,9:00 AM,10/31/2025,12:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Studio in Biblioteca,11/03/2025,10:15 AM,11/03/2025,1:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Analisi Matematica 1,11/03/2025,8:15 AM,11/03/2025,10:15 AM,False,Boella Marco Ugo Claudio,9.0.1,True
